Epoch;train_loss;train_acc;test_loss;test_acc;batch_size
1;2.081;0.5335;0.7121;0.6011;1
2;0.6734;0.6001;0.6637;0.6476;1
3;0.6497;0.6277;0.6309;0.6767;1
4;0.6339;0.6431;0.7277;0.6001;1
5;0.6174;0.6618;0.6496;0.6644;1
6;0.5868;0.6889;0.6291;0.6896;1
7;0.5796;0.6976;0.6509;0.7009;1
8;0.5518;0.7147;0.7252;0.6683;1
9;0.5371;0.7307;0.7587;0.7088;1
10;0.5353;0.7273;2.3608;0.692;1
11;0.5102;0.7427;3.7068;0.694;1
12;0.4949;0.7599;197.7788;0.6856;1
13;0.4667;0.7768;4.5861;0.695;1
14;0.4546;0.7836;19205.4076;0.7088;1
15;0.4256;0.798;193.2591;0.7004;1
16;0.4171;0.8094;1344.6594;0.7197;1
17;0.4003;0.8185;76509.7504;0.6945;1
18;0.3828;0.8277;16158.1561;0.6826;1
19;0.3742;0.835;442303.0641;0.6896;1
20;0.3856;0.8274;288983.1853;0.7093;1
21;0.3683;0.8354;551531.1764;0.6836;1
22;0.345;0.848;419426.4114;0.6421;1
23;0.3661;0.8416;448302.881;0.6594;1
24;0.3538;0.8468;626630.2973;0.6401;1
25;0.3352;0.8523;376064.0503;0.6001;1
1;2.3725;0.5289;0.8527;0.5603;2
2;0.7604;0.5679;0.6301;0.6398;2
3;0.6658;0.6025;0.6026;0.6764;2
4;0.628;0.6443;0.6976;0.6398;2
5;0.5999;0.6787;0.5329;0.7391;2
6;0.5666;0.7047;0.5627;0.7302;2
7;0.5354;0.7238;0.4696;0.7836;2
8;0.5006;0.7502;0.4881;0.7653;2
9;0.4686;0.7698;0.432;0.8063;2
10;0.4497;0.7862;0.4639;0.7964;2
11;0.4205;0.8033;0.4156;0.8147;2
12;0.3941;0.8196;2.1762;0.8123;2
13;0.3922;0.8204;0.3877;0.834;2
14;0.3636;0.8336;2.8408;0.8098;2
15;0.3542;0.8394;0.783;0.8463;2
16;0.3467;0.8436;0.4376;0.835;2
17;0.3238;0.8569;0.5564;0.8483;2
18;0.3121;0.8629;1.4041;0.8375;2
19;0.3112;0.8637;4.7102;0.8379;2
20;0.3089;0.8635;0.6069;0.8463;2
21;0.2816;0.8785;0.5667;0.8528;2
22;0.2785;0.8813;0.4165;0.8533;2
23;0.2788;0.878;0.4505;0.8567;2
24;0.2599;0.8893;0.4611;0.8463;2
25;0.2557;0.8917;0.4975;0.8666;2
1;2.0448;0.534;1.721;0.5143;4
2;0.9378;0.5557;0.6719;0.6321;4
3;0.6769;0.6165;0.5836;0.692;4
4;0.6266;0.6495;0.5782;0.6966;4
5;0.5966;0.6764;0.5181;0.7423;4
6;0.5645;0.7058;0.5052;0.7487;4
7;0.5063;0.7485;0.4092;0.8129;4
8;0.4553;0.7747;0.3583;0.8312;4
9;0.4134;0.8018;0.3339;0.8539;4
10;0.383;0.8191;0.3521;0.8445;4
11;0.353;0.8328;0.3245;0.8673;4
12;0.3387;0.8405;0.2699;0.8757;4
13;0.3164;0.8579;0.2797;0.8806;4
14;0.2961;0.8674;0.3008;0.8674;4
15;0.2741;0.8784;0.2901;0.8831;4
16;0.2708;0.88;0.3004;0.8826;4
17;0.2444;0.8939;0.2689;0.8986;4
