Epoch;train_loss;train_acc;test_loss;test_acc
1;0.9577;0.5724;0.6342;0.6391
2;0.8104;0.6317;0.8217;0.6011
3;0.8119;0.6567;0.6727;0.6958
4;0.7445;0.6781;0.7032;0.7005
5;0.8144;0.6902;0.736;0.7005
6;0.8071;0.7254;0.6177;0.7266
7;0.7452;0.7324;0.5782;0.7933
8;0.6307;0.7664;0.5106;0.8131
9;0.6461;0.79;0.4785;0.8326
10;0.6417;0.8023;0.3547;0.8466
11;0.55;0.8143;0.8094;0.7687
12;0.6018;0.8389;0.428;0.8653
13;0.5096;0.8547;0.6079;0.873
14;0.3711;0.8639;0.3327;0.8891
15;0.3411;0.8741;0.3518;0.8812
16;0.3054;0.8777;0.4744;0.8493
17;0.2712;0.8858;0.2527;0.9102
18;0.2318;0.9029;0.2382;0.9097
19;0.2314;0.9058;0.2428;0.9155
20;0.1914;0.9208;0.2309;0.9076
21;0.1957;0.9177;0.2802;0.9146
22;0.1873;0.9229;0.3355;0.8879
23;0.1725;0.9281;0.2355;0.9107
24;0.1625;0.9312;0.2606;0.9091
25;0.1613;0.9315;0.2609;0.9198
